,HCC1954_BrM2b_1,HCC1954_BrM2b_2,HCC1954_Parental_1,HCC1954_Parental_2,HCC1954_Parental_3
A1BG,143.9011248,132.2611565,124.3731502,120.4111265,109.3360323
A1BG-AS1,15.86311612,15.62139643,14.2412004,11.35954023,16.31881079
A1CF,6.798478335,8.331411431,5.69648016,4.543816093,4.895643237
A2M,0,1.041426429,0.94941336,1.135954023,0
A2M-AS1,4.53231889,5.207132144,4.7470668,4.543816093,4.895643237
A2ML1,146.1672842,143.7168472,259.1898473,253.3177472,271.7081996
A2MP1,0,0,0,0,0
A3GALT2,1.133079723,1.041426429,3.79765344,5.679770117,4.079702697
A4GALT,248.1444592,280.1437094,339.8899829,371.4569656,333.7196806
A4GNT,1.133079723,0,0,0,0
AA06,0,0,0,0,0
AAAS,1402.752696,1489.239793,1507.668416,1543.761518,1433.607528
AACS,1831.056832,1671.489418,2735.25989,2678.579587,2522.072207
AACSP1,0,0,0,1.135954023,0
AADAC,3.399239168,2.082852858,0,0,0.815940539
AADACL2,0,0,0,0,0
AADACL2-AS1,0,1.041426429,0.94941336,1.135954023,1.631881079
AADACL3,1.133079723,1.041426429,0.94941336,0,0
AADACL4,0,0,0,1.135954023,0
AADACP1,0,6.248558573,1.89882672,0,0.815940539
AADAT,130.3041681,141.6339943,125.3225635,118.1392184,112.5997944
AAED1,316.1292426,337.4221629,274.380461,282.8525518,297.0023564
AAGAB,3463.824712,3171.143476,2491.260657,2535.44938,2655.070515
AAK1,3181.687861,2889.95834,3674.229703,3719.113472,3838.184298
AAMDC,396.5779029,395.742043,465.2125464,493.0040461,518.1222426
AAMP,4939.09451,4892.621363,4844.856376,4775.550714,4440.348416
AANAT,18.12927556,15.62139643,9.4941336,9.087632187,11.42316755
AAR2,1318.904797,1321.570138,895.2967985,853.1014715,794.7260854
AARD,112.1748925,106.2254957,36.07770768,38.62243679,38.34920535
AARS,12809.46626,16206.67809,12428.7703,12238.76865,11978.00712
AARS2,1717.748859,1678.779403,1415.57532,1355.19315,1336.510604
AARSD1,0,0,0,0,0
AASDH,632.2584852,616.5244459,603.8268969,588.4241841,648.6727289
AASDHPPT,1385.756501,1409.049958,1088.977124,1134.818069,1343.038128
AASS,226.6159445,273.8951508,74.05424208,63.61342531,69.35494585
AATF,4466.600266,4051.148808,3980.890218,3808.85384,3944.256568
AATK,39.65779029,42.69848358,33.2294676,30.67075863,29.37385942
AATK-AS1,1.133079723,3.124279287,3.79765344,4.543816093,4.895643237
ABAT,253.8098578,217.6581236,100.6378162,109.0515862,111.7838539
ABCA1,64.58554418,70.81699716,192.7309121,196.520046,215.4083024
ABCA10,11.33079723,13.53854358,14.2412004,15.90335633,8.975345934
ABCA11P,126.9049289,122.8883186,91.14368256,96.55609198,90.56939988
ABCA12,1031.102547,1228.883186,1127.903072,992.8238164,1045.219831
ABCA13,97.44485614,89.56267288,49.36949472,56.79770117,41.61296751
ABCA17P,21.52851473,37.49135144,12.34237368,12.49549426,17.13475133
ABCA2,2749.984487,2757.697184,3713.155651,3986.062668,3518.335606
ABCA3,307.0646048,287.4336944,227.8592064,215.8312644,196.64167
ABCA4,401.1102218,465.5176137,1944.398561,2069.708231,2085.544019
ABCA5,432.836454,523.8374937,343.6876363,372.5929197,405.5224481
ABCA6,0,0,0,0,0
ABCA7,1875.246941,2160.95984,3764.423972,4065.57945,3611.352828
ABCA8,0,0,0,0,0
ABCA9,33.99239168,41.65705715,27.53298744,26.12694254,24.47821618
ABCB1,3.399239168,1.041426429,0.94941336,0,0
ABCB10,1628.235561,1435.085619,1420.322387,1262.04492,1333.246841
ABCB11,96.31177641,113.5154807,172.7932315,196.520046,195.0097889
ABCB4,1.133079723,2.082852858,1.89882672,0,1.631881079
ABCB5,36.25855112,41.65705715,46.52125464,54.52579312,53.03613506
ABCB6,822.6158785,874.7982002,1744.072342,1744.82538,1610.666625
ABCB7,1087.756534,1073.710648,1005.428748,937.1620693,983.20835
ABCB8,1817.459875,1830.827662,2369.735746,2316.210254,2155.714905
ABCB9,535.9467088,438.4405265,600.9786569,605.4634944,563.8149128
ABCC1,3836.60794,3819.952141,3352.378574,3246.556599,3219.701369
ABCC10,2253.695568,2430.689285,2066.872885,2099.243035,1930.515316
ABCC11,9.06463778,13.53854358,9.4941336,5.679770117,5.711583776
ABCC12,0,0,0,0,0
ABCC13,7.931558058,3.124279287,3.79765344,10.22358621,0.815940539
ABCC2,412.441019,353.0435594,138.6143506,168.1211955,142.7895944
ABCC3,126.9049289,111.4326279,91.14368256,106.7796782,87.30563772
ABCC4,591.4676152,568.6188302,1285.505689,1299.531403,1325.903377
ABCC5,2355.672743,2259.895351,4066.337421,4067.851358,3933.649341
ABCC5-AS1,0,1.041426429,0,0,1.631881079
ABCC6,113.3079723,103.1012165,94.941336,115.8673104,93.0172215
ABCC6P1,0,0,0,0,0
ABCC6P2,0,0,0.94941336,0,0.815940539
ABCC8,0,1.041426429,0,0,0
ABCC9,627.7261663,692.5485752,638.0057779,630.454483,705.7885666
ABCD1,1519.459908,1540.269688,1821.924238,1914.082529,1741.217111
ABCD2,0,0,0,0,0
ABCD3,3743.695403,3521.062756,4598.958316,4376.830852,4667.179886
ABCD4,966.5170033,1016.432195,1060.494723,1064.38892,1001.974982
ABCE1,4911.900597,4238.605565,3757.778079,3495.33053,3980.973892
ABCF1,8442.577012,8229.351641,5922.44054,5713.848737,5573.689825
ABCF2,5209.900564,5012.385402,3505.234125,3334.025058,3441.637195
ABCF3,3975.976746,4024.071721,3921.077177,3560.079909,3541.997882
ABCG1,22.66159445,52.07132144,54.11656152,39.75839082,37.53326481
ABCG2,137.1026464,86.43839359,198.4273922,163.5773794,172.1634538
ABCG4,5.665398613,5.207132144,7.59530688,10.22358621,1.631881079
ABCG5,0,3.124279287,0,1.135954023,1.631881079
ABCG8,0,0,0.94941336,0,0
ABHD1,10.1977175,11.45569072,12.34237368,4.543816093,7.343464855
ABHD10,1152.342078,1029.970738,1021.568775,1004.183357,990.5518149
ABHD11,3015.125142,2981.603866,3182.433583,3017.093886,2854.975948
ABHD12,824.882038,945.6151974,1087.078297,1123.458529,967.7054798
ABHD12B,3.399239168,2.082852858,8.54472024,6.81572414,9.791286473
ABHD13,130.3041681,155.1725379,151.9061376,140.8582989,159.9243457
ABHD14A,14.73003639,15.62139643,18.03885384,11.35954023,10.60722701
ABHD14A-ACY1,0,0,0,0,0
ABHD14B,748.9656966,808.1469088,685.4764459,755.4094255,666.6234207
ABHD15,308.1976845,313.4693551,344.6370497,331.6985748,314.9530482
ABHD16A,2040.67658,2248.43966,2201.689582,2299.170943,2086.359959
ABHD16B,319.5284818,344.712148,291.4699015,276.0368277,247.2299835
ABHD17A,2672.935065,2475.470621,2853.93656,2780.815449,2433.134689
ABHD17B,1459.406683,1342.398667,1430.765933,1513.090759,1471.140793
ABHD17C,1614.638605,1582.968172,1455.450681,1447.205426,1412.393074
ABHD2,3615.657395,3339.854557,2742.855197,2680.851495,2695.867542
ABHD3,1657.695634,1577.76104,2114.343553,2217.382254,2216.910446
ABHD4,2934.676481,3054.503716,4102.415128,4063.307541,3883.876968
ABHD5,1011.840192,951.863756,933.2733329,949.6575635,924.4606312
ABHD6,155.231922,167.669655,176.590885,165.8492874,176.2431565
ABHD8,457.7642079,422.8191301,522.177348,561.1612875,491.1962048
ABI1,2940.34188,2897.248325,4169.823477,4145.096231,4248.602389
ABI2,933.6576914,1014.349342,1336.774011,1312.026897,1327.535258
ABI3,0,0,0,0,0
ABI3BP,9.06463778,3.124279287,24.68474736,31.80671265,35.90138374
ABL1,5126.052665,5476.861589,4575.222982,4498.377932,4408.526735
ABL2,2275.224083,2065.148608,1908.320854,1848.197196,2056.170159
ABLIM1,4182.197256,4073.018763,4621.744236,4550.631817,4682.682756
ABLIM2,112.1748925,82.27268788,114.8790166,113.5954023,94.64910258
ABLIM3,386.3801854,374.9135144,552.5585755,592.9680002,622.5626316
ABO,1.133079723,0,0.94941336,1.135954023,0.815940539
ABR,1806.129078,1783.963473,1834.266611,1800.487127,1742.848992
ABRA,6.798478335,8.331411431,4.7470668,2.271908047,9.791286473
ABRACL,2912.014887,2826.431328,3713.155651,3800.902162,3931.201519
ABT1,1635.03404,1460.079853,1237.085608,1224.558437,1177.402198
ABTB1,208.4866689,257.2323279,467.1113731,471.4209197,458.5585832
ABTB2,2018.014986,1794.377737,1423.170627,1362.008874,1294.081696
AC093375.1,31.72623223,29.15994001,41.77418784,38.62243679,53.03613506
ACAA1,1794.79828,1770.424929,2044.086964,1972.016185,1791.805425
ACAA2,405.6425407,426.9848358,365.5241436,332.8345288,331.271859
ACACA,6900.45551,6790.100316,9060.251694,8634.386531,9025.934247
ACACB,115.5741317,135.3854358,186.0850186,189.7043219,156.6605836
ACAD10,310.463844,343.6707215,557.3056423,583.880368,499.3556101
ACAD11,47.58934835,39.5742043,41.77418784,24.99098851,35.90138374
ACAD8,609.5968907,740.4541909,534.5197217,493.0040461,458.5585832
ACAD9,1684.889547,1696.483653,1745.021756,1673.260276,1628.617317
ACADL,0,0,0,0,0
ACADM,2211.771618,2068.272888,2744.754024,2678.579587,2825.602088
ACADS,16.99619584,16.66282286,28.4824008,40.89434484,32.63762158
ACADSB,520.0835926,569.6602566,460.4654796,482.7804599,468.3498696
ACADVL,13977.67146,14359.1876,15474.48835,15569.38584,14543.32418
ACAN,0,1.041426429,1.89882672,0,0
ACAP1,30.59315251,36.44992501,23.735334,28.39885058,19.58257295
ACAP2,3460.425473,3122.196434,4005.574966,3896.3223,4273.896546
ACAP3,1922.836289,1907.893218,1981.425682,1957.248782,1712.659192
ACAT1,1502.463712,1449.665589,1311.13985,1262.04492,1411.577133
ACAT2,1729.079657,1613.169538,1873.192559,1664.172644,1821.179284
ACBD3,3947.649753,3476.28142,4707.191439,4664.22722,4738.982653
ACBD4,292.3345684,354.0849858,379.765344,399.8558162,319.8486915
ACBD5,1687.155707,1495.488352,2286.187371,2285.539495,2340.933408
ACBD6,1720.015019,1735.01643,1257.972702,1281.356138,1280.210706
ACBD7,422.6387365,399.9077487,973.148694,1047.34961,1028.90102
ACCS,203.9543501,290.5579737,176.590885,237.4143909,186.034443
ACCSL,1.133079723,2.082852858,0.94941336,1.135954023,0.815940539
ACD,1632.76788,1733.975004,1136.447792,1114.370897,1030.532901
ACE,15.86311612,9.37283786,17.08944048,30.67075863,32.63762158
ACE2,676.4485943,736.2884852,897.1956252,883.7722302,914.6693447
ACER1,0,0,0,0,0
ACER2,95.17869669,92.68695217,203.174459,198.7919541,226.83147
ACER3,982.3801194,926.8695217,819.3437297,780.400414,856.7375664
ACHE,755.7641749,683.1757373,1483.933082,1544.897472,1366.700404
ACIN1,8534.35647,8262.677287,9448.561758,9337.542072,9222.575917
ACKR1,0,0,0,0,0.815940539
ACKR2,1501.330632,1417.38137,1192.46318,1098.467541,1156.187744
ACKR3,16.99619584,18.74567572,3.79765344,1.135954023,3.263762158
ACKR4,10.1977175,8.331411431,1.89882672,5.679770117,4.895643237
ACLY,13657.0099,12660.6211,17851.81941,17351.69771,17015.62401
ACMSD,1.133079723,2.082852858,0.94941336,1.135954023,4.079702697
ACN9,846.4105527,912.2895517,600.0292435,577.0646439,617.6669884
ACO1,2619.680318,2572.323279,2206.436649,2234.421564,2217.726386
ACO2,2327.34575,2272.392468,2614.684393,2560.440369,2398.049245
ACOT1,107.6425736,131.21973,127.2213902,107.9156322,93.0172215
ACOT11,96.31177641,99.97693717,74.05424208,89.74036784,63.64336208
ACOT12,0,0,0,0,0.815940539
ACOT13,1358.562587,1337.191535,1392.789399,1424.486345,1352.829414
ACOT2,250.4106187,273.8951508,322.8005424,332.8345288,349.2225509
ACOT4,5.665398613,15.62139643,36.07770768,48.846023,31.82168104
ACOT6,2.266159445,2.082852858,0.94941336,0,0.815940539
ACOT7,2834.965466,2595.234661,2764.691704,2805.806438,2591.427153
ACOT8,461.1634471,458.2276287,561.1032957,535.034345,504.2512534
ACOT9,3854.737216,3541.891285,2512.14775,2386.639403,2553.893888
ACOX1,2964.136554,2989.935277,3036.223925,2908.0423,3001.845245
ACOX2,9.06463778,11.45569072,8.54472024,9.087632187,4.895643237
ACOX3,772.7603708,836.2654224,1173.474913,1234.782023,1130.893588
ACOXL,1.133079723,1.041426429,21.83650728,11.35954023,19.58257295
ACP1,3578.265764,3473.15714,3381.810388,3287.450944,3474.274817
ACP2,1642.965598,1629.832361,1472.540121,1431.302069,1388.730798
ACP5,1.133079723,3.124279287,2.84824008,0,3.263762158
ACP6,1347.23179,1322.611565,1597.862685,1651.67715,1582.108706
ACPP,163.16348,232.2380936,227.8592064,193.112184,239.0705781
ACPT,9.06463778,7.289985002,9.4941336,13.63144828,8.975345934
ACR,1.133079723,1.041426429,1.89882672,2.271908047,1.631881079
ACRBP,15.86311612,22.91138143,22.78592064,17.03931035,16.31881079
ACRC,67.98478335,83.31411431,75.9530688,90.87632187,64.45930262
ACRV1,12.46387695,5.207132144,4.7470668,3.40786207,8.975345934
ACSBG1,11.33079723,8.331411431,14.2412004,12.49549426,11.42316755
ACSBG2,12.46387695,17.70424929,12.34237368,15.90335633,15.50287025
ACSF2,1605.573967,1701.690785,1912.118507,1903.858943,1915.828387
ACSF3,921.1938144,911.2481252,800.3554625,844.0138393,730.2667828
ACSL1,5544.159082,5566.424262,8667.194563,8462.857474,8745.250702
ACSL3,6109.565864,6334.996967,7308.584045,6816.860094,7361.415547
ACSL4,2166.448429,2049.527212,2343.152172,2360.51246,2468.220132
ACSL5,745.5664574,760.2412931,1233.287955,1179.120276,1197.800712
ACSL6,13.59695667,22.91138143,24.68474736,21.58312644,19.58257295
ACSM1,5.665398613,3.124279287,1.89882672,0,0
ACSM2A,1.133079723,0,0,1.135954023,0
ACSM2B,0,0,0,0,0
ACSM3,13.59695667,21.86995501,35.12829432,51.11793105,31.0057405
ACSM4,36.25855112,26.03566072,35.12829432,26.12694254,25.29415672
ACSM5,0,0,0,0,0
ACSS1,1.133079723,3.124279287,1.89882672,0,0.815940539
ACSS2,1484.334436,1774.590635,1975.729202,2106.058759,1956.625414
ACSS3,1.133079723,0,3.79765344,2.271908047,1.631881079
ACTA1,11.33079723,0,5.69648016,7.951678163,12.23910809
ACTA2,143.9011248,105.1840693,80.7001356,76.10891956,71.80276747
ACTB,261591.8494,236599.5875,175346.204,171115.5703,164276.5726
ACTBL2,117.8402911,96.85265788,33.2294676,34.0786207,37.53326481
ACTC1,1.133079723,2.082852858,0,0,2.447821618
ACTG1,159091.1915,145109.2343,145588.7411,140410.733,135706.4146
ACTG1P4,5.665398613,5.207132144,6.64589352,5.679770117,10.60722701
ACTG2,77.04942113,71.85842359,33.2294676,26.12694254,27.74197834
ACTL10,7.931558058,3.124279287,1.89882672,1.135954023,4.895643237
ACTL6A,5444.448067,5458.115914,5132.528624,5089.074025,5211.412226
ACTL6B,0,2.082852858,0,1.135954023,0
ACTL7A,0,1.041426429,0,1.135954023,0
ACTL7B,0,1.041426429,0,0,0.815940539
ACTL8,15.86311612,17.70424929,12.34237368,9.087632187,8.159405395
ACTL9,0,0,0,0,0
ACTN1,27213.1757,25248.34234,23007.13395,22387.38189,21346.63639
ACTN1-AS1,4.53231889,6.248558573,3.79765344,7.951678163,3.263762158
ACTN2,0,0,0.94941336,0,0.815940539
ACTN3,2.266159445,0,0,1.135954023,2.447821618
ACTN4,25191.76147,23319.62059,35279.25104,34389.8721,31833.10421
ACTR10,2061.072015,1998.497317,2403.914627,2244.64515,2386.626078
ACTR1A,3808.280947,3657.489618,4198.305878,4165.543404,3909.987065
ACTR1B,3273.467318,3310.694617,3207.11833,3165.903863,2936.570002
ACTR2,16351.47348,15239.19293,16591.94788,16483.82883,17666.74456
ACTR3,16712.92591,15991.10282,16924.24255,16469.06143,17559.04041
ACTR3B,448.6995701,381.162073,257.2910206,256.7256093,255.3893888
ACTR3BP2,0,0,0,0,0
ACTR3BP5,0,0,0,0,0
ACTR3C,61.18630502,64.56843859,78.80130888,62.47747128,91.38534042
ACTR5,375.0493882,309.3036494,366.4735569,335.1064369,335.3515617
ACTR6,1759.672809,1700.649358,2730.512823,2818.301932,2983.078612
ACTR8,927.9922927,856.0525245,883.9038381,880.3643681,855.1056854
ACTRT1,1.133079723,1.041426429,0,0,0.815940539
ACTRT2,0,0,0,0,0
ACTRT3,112.1748925,128.0954507,93.99192264,82.9246437,68.53900531
ACVR1,2628.744956,2858.715547,1570.329697,1602.831127,1664.5187
ACVR1B,771.627291,806.0640559,1135.498379,1074.612506,1072.145869
ACVR1C,28.32699306,20.82852858,27.53298744,48.846023,37.53326481
ACVR2A,590.3345354,697.7557073,749.087141,648.6297473,793.0942044
ACVR2B,341.0569965,384.2863522,290.5204882,251.0458392,267.6284969
ACVR2B-AS1,37.39163084,39.5742043,27.53298744,24.99098851,28.55791888
ACVRL1,9.06463778,10.41426429,10.44354696,14.7674023,13.05504863
ACY1,13.59695667,16.66282286,11.39296032,12.49549426,17.13475133
ACY3,0,0,4.7470668,3.40786207,8.975345934
ACYP1,358.0531923,391.5763372,304.7616886,328.2907127,277.4197834
ACYP2,129.1710884,121.8468922,108.233123,80.65273566,122.3910809
ADA,495.1558387,504.0503916,534.5197217,582.744414,535.2569939
ADAD1,0,0,0,0,0
ADAD2,0,3.124279287,3.79765344,2.271908047,1.631881079
ADAL,39.65779029,31.24279287,18.9882672,21.58312644,26.11009726
ADAM10,13013.42061,12700.1953,12629.09651,12515.94143,13285.14386
ADAM11,62.31938474,70.81699716,63.61069512,85.19655175,61.19554046
ADAM12,9.06463778,3.124279287,17.08944048,14.7674023,17.13475133
ADAM15,17324.78896,17225.19313,24204.3442,23793.69297,21145.09908
ADAM17,2609.482601,2569.199,2694.435116,2691.075081,2860.687531
ADAM18,0,0,0,0,0
ADAM19,1850.319187,1823.537677,1373.801132,1424.486345,1351.197533
ADAM1A,87.24713863,69.77557073,98.73898944,110.1875403,92.20128096
ADAM2,1.133079723,2.082852858,2.84824008,4.543816093,2.447821618
ADAM20,3.399239168,4.165705715,3.79765344,4.543816093,0.815940539
ADAM20P1,3.399239168,9.37283786,3.79765344,9.087632187,9.791286473
ADAM21,10.1977175,5.207132144,12.34237368,23.85503449,17.13475133
ADAM21P1,0,1.041426429,3.79765344,2.271908047,2.447821618
ADAM22,109.9087331,123.929745,42.7236012,45.43816093,44.06078913
ADAM23,2.266159445,5.207132144,14.2412004,7.951678163,16.31881079
ADAM28,4.53231889,6.248558573,0.94941336,0,0
ADAM29,1.133079723,2.082852858,0.94941336,0,0
ADAM30,0,0,0,0,0
ADAM32,18.12927556,11.45569072,24.68474736,19.3112184,22.8463351
ADAM33,1.133079723,1.041426429,2.84824008,0,4.079702697
ADAM3A,0,0,0,0,0
ADAM5,0,0,0,0,0
ADAM6,0,0,0,0,0
ADAM7,0,0,0,0,0
ADAM8,183.558915,224.9481086,191.7814987,230.5986667,191.7460268
ADAM9,11994.78194,11654.60317,14009.54354,13449.69564,14439.69973
ADAMDEC1,0,0,0,0,0
ADAMTS1,11.33079723,9.37283786,9.4941336,5.679770117,10.60722701
ADAMTS10,134.836487,157.2553908,70.25658864,62.47747128,50.58831345
ADAMTS12,1.133079723,1.041426429,0.94941336,1.135954023,1.631881079
ADAMTS13,189.2243137,265.5637394,226.909793,218.1031725,191.7460268
ADAMTS14,13.59695667,17.70424929,25.63416072,35.21457472,35.0854432
ADAMTS15,171.0950381,157.2553908,212.6685926,231.7346208,204.8010754
ADAMTS16,30.59315251,29.15994001,304.7616886,246.5020231,292.1067131
ADAMTS17,26.06083362,29.15994001,36.07770768,34.0786207,32.63762158
ADAMTS18,0,0,0,0,0
ADAMTS19,0,0,0,0,0
ADAMTS2,6.798478335,6.248558573,3.79765344,9.087632187,2.447821618
ADAMTS20,5.665398613,8.331411431,1.89882672,2.271908047,0.815940539
ADAMTS3,174.4942773,158.2968172,74.05424208,93.14822991,96.28098366
ADAMTS4,40.79087001,46.8641893,42.7236012,48.846023,44.87672967
ADAMTS5,0,0,0,0,0
ADAMTS6,15.86311612,10.41426429,1.89882672,4.543816093,8.975345934
ADAMTS7,141.6349653,143.7168472,40.82477448,47.71006898,49.77237291
ADAMTS7P1,0,0,0,0,0
ADAMTS8,1.133079723,1.041426429,1.89882672,1.135954023,0.815940539
ADAMTS9,286.6691698,269.7294451,158.5520311,164.7133334,155.0287025
ADAMTS9-AS2,1.133079723,0,1.89882672,0,0
ADAMTSL1,0,0,0.94941336,1.135954023,0
ADAMTSL2,32.85931195,22.91138143,29.43181416,39.75839082,35.90138374
ADAMTSL3,5.665398613,5.207132144,0.94941336,0,0.815940539
ADAMTSL4,152.9657625,123.929745,175.6414716,164.7133334,153.3968214
ADAMTSL4-AS1,9.06463778,10.41426429,15.19061376,7.951678163,14.68692971
ADAMTSL5,108.7756534,127.0540243,184.1861918,197.6560001,186.8503835
ADAP1,1034.501787,1101.829162,554.4574022,506.6354944,465.0861075
ADAP2,156.3650017,146.8411265,127.2213902,118.1392184,173.7953349
ADAR,25718.64354,24282.94004,31081.89458,30252.72755,31002.47674
ADARB1,713.8402252,827.9340109,982.6428276,1012.135035,1007.686566
ADARB2,2.266159445,4.165705715,0.94941336,5.679770117,6.527524316
ADARB2-AS1,0,0,0,0,0
ADAT1,1829.923752,1789.170605,1373.801132,1277.948276,1320.191793
ADAT2,518.9505129,613.4001666,427.236012,458.9254254,473.2455129
ADAT3,352.3877937,318.6764872,378.8159306,326.0188047,294.5545347
ADC,7.931558058,7.289985002,9.4941336,7.951678163,8.975345934
ADCK1,354.6539531,409.2805865,356.03001,327.1547587,315.7689888
ADCK2,1061.6957,1044.550708,729.1494605,708.8353106,680.4944099
ADCK3,1496.798313,1466.328412,917.1333057,905.3553566,893.4548907
ADCK4,939.32309,1052.88212,1311.13985,1509.682897,1174.954377
ADCK5,460.0303673,492.5947008,638.0057779,605.4634944,527.0975885
ADCY1,186.9581542,194.7467422,34.17888096,42.03029886,34.26950266
ADCY10,3.399239168,6.248558573,8.54472024,9.087632187,8.159405395
ADCY10P1,122.37261,106.2254957,155.703791,162.4414253,158.2924647
ADCY2,1.133079723,0,0.94941336,0,6.527524316
ADCY3,1970.425637,2074.521446,2428.599375,2505.914575,2225.069851
ADCY4,0,1.041426429,0.94941336,0,0
ADCY5,6.798478335,11.45569072,4.7470668,9.087632187,7.343464855
ADCY6,2242.364771,2328.629495,4178.368197,4192.8063,4087.046162
ADCY7,2014.615747,1953.715981,1787.745357,1750.50515,1735.505527
ADCY8,0,0,0,0,0.815940539
ADCY9,730.836421,777.9455424,839.2814102,899.6755865,868.9766745
ADCYAP1,0,1.041426429,0,0,0
ADCYAP1R1,0,0,0,0,0
ADD1,6261.398547,5958.000599,6689.566534,6413.596416,6471.224418
ADD2,46.45626862,53.11274787,74.05424208,94.28418394,79.14623233
ADD3,1917.170891,2108.888518,2675.446848,2737.649196,2760.326845
ADD3-AS1,1.133079723,3.124279287,0.94941336,3.40786207,0.815940539
ADGB,0,0,0,0,0
ADH1A,0,1.041426429,0,0,0.815940539
ADH1B,0,0,0,0,0
ADH1C,4.53231889,2.082852858,33.2294676,57.93365519,31.82168104
ADH4,5.665398613,2.082852858,2.84824008,4.543816093,4.079702697
ADH5,5996.257892,6031.941876,7906.714462,7708.584002,8054.965006
ADH6,18.12927556,12.49711715,27.53298744,32.94266668,26.11009726
ADH7,0,0,0,0,0
ADHFE1,9.06463778,22.91138143,26.58357408,36.35052875,29.37385942
ADI1,2611.74876,2406.736477,2244.413183,2099.243035,2194.064111
ADIG,0,0,0,0,0
ADIPOQ,22.66159445,27.07708715,19.93768056,23.85503449,26.11009726
ADIPOQ-AS1,2.266159445,4.165705715,1.89882672,4.543816093,3.263762158
ADIPOR1,5509.033611,5411.251724,5352.792524,5362.838944,5312.588852
ADIPOR2,6024.584885,5549.761439,4216.344732,3996.286254,4198.014076
ADIRF,32.85931195,35.40849858,69.30717528,82.9246437,75.88247017
ADK,2039.543501,1901.644659,2071.619951,1977.695955,2132.05263
ADM,1254.319253,1044.550708,1471.590708,1349.51338,1385.467036
ADM2,428.3041351,836.2654224,577.2433229,604.3275404,557.2873884
ADM5,151.8326828,180.1667722,225.9603797,278.3087357,198.2735511
ADNP,7758.19686,7774.248291,7900.068568,7692.680646,8091.68233
ADNP2,1837.85531,1760.010665,1394.688226,1369.960552,1363.436641
ADO,1167.072114,1169.52188,1116.510111,1057.573196,1088.46468
ADORA1,1290.577804,1388.22143,1019.669949,1090.515862,916.3012258
ADORA2A,1.133079723,1.041426429,1.89882672,5.679770117,0.815940539
ADORA2A-AS1,10.1977175,13.53854358,9.4941336,5.679770117,8.975345934
ADORA2B,1756.27357,1743.347842,1076.63475,1015.542897,1043.58795
ADORA3,0,0,0,0,0
ADPGK,1823.125274,1873.526146,1209.552621,1141.633793,1209.223879
ADPGK-AS1,2.266159445,4.165705715,2.84824008,1.135954023,2.447821618
ADPRH,129.1710884,136.4268622,63.61069512,77.24487359,65.27524316
ADPRHL1,160.8973206,196.8295951,116.7778433,132.9066207,148.5011782
ADPRHL2,1371.026464,1241.380303,1543.746123,1548.305334,1434.423468
ADPRM,120.1064506,123.929745,120.5754967,122.6830345,124.022962
ADRA1A,29.46007279,34.36707215,37.9765344,28.39885058,29.37385942
ADRA1B,15.86311612,11.45569072,17.08944048,17.03931035,16.31881079
ADRA1D,27.19391334,35.40849858,103.4860562,82.9246437,75.06652963
ADRA2A,2.266159445,0,0,0,0.815940539
ADRA2B,43.05702946,44.78133644,23.735334,28.39885058,14.68692971
ADRA2C,197.1558717,218.6995501,107.2837097,101.0999081,103.6244485
ADRB1,112.1748925,109.349775,125.3225635,129.4987587,125.6548431
ADRB2,109.9087331,116.63976,38.92594776,42.03029886,35.90138374
ADRB3,0,0,0,0,0
ADRBK1,4916.432916,5190.469321,4821.121042,4924.360691,4387.312281
ADRBK2,114.441052,134.3440093,57.91421496,60.20556324,60.37959992
ADRM1,6169.619089,6084.013197,5284.434762,5137.920048,4724.295723
ADSL,2098.463646,1955.798833,1482.983668,1486.963817,1484.195841
ADSS,6568.463151,6331.872687,6380.057779,6106.888829,6667.866088
ADSSL1,124.6387695,160.37967,164.2485113,196.520046,168.0837511
ADTRP,14.73003639,26.03566072,12.34237368,13.63144828,18.76663241
AEBP1,4.53231889,1.041426429,2.84824008,3.40786207,3.263762158
AEBP2,747.8326169,777.9455424,824.0907965,761.0891956,827.363707
AEN,1110.418128,1054.964972,601.9280702,563.4331956,541.7845182
AES,6069.908074,6357.908348,6169.288013,6178.453933,5824.999511
AFAP1,6457.421339,6293.33991,5939.52998,6077.354025,6068.149792
AFAP1-AS1,16.99619584,13.53854358,17.08944048,15.90335633,11.42316755
AFAP1L1,72.51710224,66.65129145,51.26832144,39.75839082,49.77237291
AFAP1L2,165.4296395,179.1253458,269.6333942,323.7468967,288.0270104
AFF1,2884.820974,2702.501583,3882.151229,3897.458254,4210.253184
AFF2,0,0,1.89882672,0,0
AFF3,39.65779029,42.69848358,37.9765344,43.16625289,61.19554046
AFF4,5833.094412,5584.128512,8211.47615,8108.439819,8773.808621
AFG3L1P,1307.574,1331.984403,961.7557337,986.0080923,932.6200366
AFG3L2,4839.383495,4608.311948,3836.579388,3683.898898,3970.366665
AFM,0,0,0,0,0
AFMID,537.0797885,564.4531244,506.0373209,560.0253335,506.699075
AFP,11.33079723,9.37283786,18.03885384,15.90335633,15.50287025
AFTPH,2640.075753,2615.021763,2802.668239,2721.74584,2876.190402
AGA,559.7413829,540.5003166,544.9632686,522.5388507,513.2265993
AGAP1,2823.634669,2787.89855,2202.638995,2054.940828,2030.060062
AGAP11,4.53231889,6.248558573,13.29178704,6.81572414,9.791286473
AGAP2,29.46007279,24.99423429,45.57184128,56.79770117,53.03613506
